证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
300912,凯龙高科,36400,7/14,3.1%,52600,7/14/28,6.0%,0,0.0,19.02,-69.6801645882913,0.0,466.0922,452.0467,14.0455,0.0,0.00771915842035546,2020-12-07,生态保护和环境治理业,汽车与汽车零部件,汽车零部件,环保及公用事业,创业板,江苏省,无锡市,1
300913,兆龙互连,1133400,7/14/28,3.0%,27000,7/14/28,8.0%,0,0.0,35.0,77.0527724892908,0.0,1709.6545,1699.3617,10.2928,0.0,0.0156614184665272,2020-12-07,电气机械和器材制造业,技术硬件与设备,通信设备,其他电子零组件Ⅱ,创业板,浙江省,湖州市,1
300915,海融科技,24800,7/14/28,3.2%,23200,7/14/28,7.0%,0,0.0,43.01,-53.6875513310105,0.0,2687.9863,2677.3132,10.6731,0.0,0.0748015469871041,2020-12-02,食品制造业,食品、饮料与烟草,饮料乳品,食品,创业板,上海,上海市,1
300916,朗特智能,62500,14,3.1%,35800,7/14/28,7.0%,0,0.0,26.85,-44.0630049135578,13.425,594.7624,571.3004,23.462,0.0119222714635878,0.00993588122549731,2020-12-02,计算机、通信和其他电子设备制造业,技术硬件与设备,消费电子,照明电工及其他,创业板,广东省,深圳市,1
300917,特发服务,1248000,7/14/28,3.0%,32000,7/14/28,8.0%,0,0.0,29.29,6.62821439075629,67.6599,25459.4115,24638.52,820.8915,0.0266705152258623,0.233461449964529,2020-12-21,房地产业,房地产Ⅱ,房地产服务,房地产服务,创业板,广东省,深圳市,1
300918,南山智尚,0,,2.0%,72200,7/14/28,5.0%,0,0.0,13.44,-21.0126618181818,0.0,17.8245,18.1675,-0.343,0.0,0.000362185905192942,2020-12-22,纺织业,耐用消费品与服装,纺织制造,纺织制造,创业板,山东省,龙口市,0
300919,中伟股份,0,,2.0%,165800,3-28,5.65%,1000,57690.0,58.3,-30.9695077647059,1799.9775,562881.1603,530139.0172,32742.1431,0.107380237342752,2.33396808898087,2020-12-23,电气机械和器材制造业,材料Ⅱ,电池,其他化学制品Ⅱ,创业板,贵州省,铜仁市,0
300920,润阳科技,0,,2.0%,57400,7/14/28,6.0%,0,0.0,17.62,-58.7915097637093,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-25,橡胶和塑料制品业,材料Ⅱ,塑料,塑料及制品,创业板,浙江省,湖州市,0
300921,南凌科技,925100,7/14,3.1%,33200,7/14/28,8.0%,0,0.0,27.99,-14.7604665960912,1.3995,129.4734,127.3068,2.1666,0.000812461601033581,0.00175702276366459,2020-12-22,互联网和相关服务,电信服务Ⅱ,通信服务,增值服务Ⅱ,创业板,广东省,深圳市,1
300922,天秦装备,0,,2.0%,59300,7/14/28,6.45%,2000,35800.0,17.84,-31.0676748525469,130.1642,18120.4034,18087.7148,32.6886,0.0850611584960408,0.217720584044228,2020-12-25,其他制造业,资本货物,地面兵装Ⅱ,其他军工Ⅱ,创业板,河北省,秦皇岛市,0
