证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
301230,泓博医药,300200,7/14/28,0.03 ,20800,7/14/28,0.08 ,0,0,46.09,27.00075659,0,0,0,0,0,0,2022/11/1,研究和试验发展,制药、生物科技与生命科学,医疗服务,其他医药医疗,创业板,上海,上海市,1
301231,荣信文化,525700,7/14/28,0.03 ,31000,7/14/28,0.08 ,0,0,31.07,-3.200460335,0,0,0,0,0,0,2022/9/8,新闻和出版业,媒体Ⅱ,出版,媒体,创业板,陕西省,西安市,1
301232,飞沃科技,151400,7月14日,0.03 ,16200,7/14/28,0.06 ,0,0,61.71,-11.3362069,0,0,0,0,0,0,2023/6/15,通用设备制造业,资本货物,风电设备,通用设备,创业板,湖南省,常德市,1
301233,盛帮股份,17700,7/14/28,0.03 ,24600,7/14/28,0.06 ,0,0,40.45,-27.90950446,0,0,0,0,0,0,2022/7/6,橡胶和塑料制品业,汽车与汽车零部件,汽车零部件,专用机械,创业板,四川省,成都市,1
301234,五洲医疗,657500,7/14/28,0.03 ,21600,7/14/28,0.08 ,0,0,41.32,-10.43058142,0,0,0,0,0,0,2022/7/5,专用设备制造业,医疗保健设备与服务,医疗器械,其他医药医疗,创业板,安徽省,安庆市,1
301235,华康医疗,15000,14,0.03 ,20500,1-182,0.10 ,20000,476800,24.2,-47.75634234,1241.4696,49045.9859,47240.3899,1805.596,1.028146479,1.271763647,2022/1/28,专业技术服务业,医疗保健设备与服务,医疗器械,其他医药医疗,创业板,湖北省,武汉市,1
301236,软通动力,0,,0.04 ,60300,7/14/28,0.06 ,5800,131196,22.34,-15.97929686,5200.7991,101362.49,89431.8259,11930.6641,0.342197328,0.808821876,2022/3/15,软件和信息技术服务业,软件与服务,IT服务Ⅱ,云服务,创业板,北京,北京市,0
301237,和顺科技,28000,14,0.03 ,34600,7/14/28,0.06 ,0,0,28.8,-43.23051664,0,0,0,0,0,0,2022/3/23,橡胶和塑料制品业,材料Ⅱ,塑料,塑料及制品,创业板,浙江省,杭州市,1
301238,瑞泰新材,0,,0.02 ,89600,7/14/28,0.06 ,0,0,19.05,-46.00606643,752.6579,20977.9452,19939.9929,1037.9523,0.185201284,0.293973843,2022/6/17,化学原料和化学制品制造业,材料Ⅱ,电池,其他化学制品Ⅱ,创业板,江苏省,张家港市,0
301239,普瑞眼科,2800,14/28,0.03 ,10600,7/14/28,0.06 ,0,0,92.09,74.84243733,445.4393,3832.3657,3329.9617,502.404,0.068329374,0.094507321,2022/7/5,卫生,医疗保健设备与服务,医疗服务,其他医药医疗,创业板,四川省,成都市,1
301246,宏源药业,316000,7/14/28,0.03 ,30400,7/14/28,0.07 ,0,0,31.83,-23.89784648,0,0,0,0,0,0,2023/3/20,医药制造业,制药、生物科技与生命科学,化学制药,化学制药,创业板,湖北省,黄冈市,1
301248,杰创智能,4800,14/28,0.03 ,47000,7/14/28,0.08 ,0,0,20.36,-27.70113993,0,49530.7472,48184.4977,1346.2495,0,1.439518607,2022/4/20,软件和信息技术服务业,软件与服务,IT服务Ⅱ,计算机软件,创业板,广东省,广州市,1
301252,同星科技,577300,7/14/28,0.03 ,19400,7/14/28,0.08 ,0,0,53.05,-14.55951039,0,0,0,0,0,0,2023/5/25,通用设备制造业,资本货物,家电零部件Ⅱ,专用机械,创业板,浙江省,绍兴市,1
301255,通力科技,704600,7/14/28,0.03 ,19400,7/14/28,0.08 ,0,0,55.9,133.9088441,10.062,51.7434,41.7114,10.032,0.006617647,0.001599437,2022/12/27,通用设备制造业,资本货物,通用设备,通用设备,创业板,浙江省,瑞安市,1
301256,华融化学,0,,0.02 ,113000,7/14/28,0.05 ,0,0,8.97,-38.14139211,26.1027,44.434,17.6364,26.7976,0.021365639,0.001432106,2022/3/22,化学原料和化学制品制造业,材料Ⅱ,化学原料,化学原料,创业板,四川省,彭州市,0
301257,普蕊斯,18600,14,0.03 ,18200,7/14/28,0.06 ,0,0,53.32,-28.43411602,2.1328,1421.9604,1428.6768,-6.7164,0.001117347,0.054564984,2022/5/17,研究和试验发展,制药、生物科技与生命科学,医疗服务,其他医药医疗,创业板,上海,上海市,1
301258,富士莱,30500,14/28,0.03 ,23800,7/14/28,0.07 ,0,0,41.39,-36.26251109,0,35.6695,35.7084,-0.0389,0,0.001052081,2022/3/29,医药制造业,制药、生物科技与生命科学,化学制药,化学制药,创业板,江苏省,常熟市,1
301259,艾布鲁,212800,7月14日,0.03 ,62600,7/14/28,0.06 ,0,0,15.87,-25.34559636,55.7513,1221.5472,1149.325,72.2222,0.047191569,0.049548449,2022/4/26,生态保护和环境治理业,商业和专业服务,环境治理,环保及公用事业,创业板,湖南省,长沙市,1
301260,格力博,30800,14,0.03 ,45400,7/14/28,0.05 ,0,0,22.07,-42.22390932,0,0,0,0,0,0,2023/2/8,专用设备制造业,资本货物,专用设备,专用机械,创业板,江苏省,常州市,1
301261,恒工精密,564300,7/14/28,0.03 ,200,7/14/28,0.08 ,0,0,48.35,-3.3,4157.5439,18358.1508,14267.3243,4090.8265,4.344653197,2.169391761,2023/7/10,通用设备制造业,资本货物,通用设备,通用设备,创业板,河北省,邯郸市,1
301262,海看股份,948200,7/14/28,0.03 ,30000,7/14/28,0.08 ,0,0,33.56,-10.62583222,0,0,0,0,0,0,2023/6/20,电信、广播电视和卫星传输服务,媒体Ⅱ,电视广播Ⅱ,广告营销,创业板,山东省,济南市,1
301263,泰恩康,12300,14/28,0.03 ,53600,7/14/28,0.06 ,0,0,18.35,-2.204898683,0,39706.4777,36897.0026,2809.4751,0,0.777747341,2022/3/29,批发业,制药、生物科技与生命科学,化学制药,其他医药医疗,创业板,广东省,汕头市,1
301265,华新环保,235900,7月14日,0.03 ,83800,7/14/28,0.04 ,0,0,12.61,-20.18945028,0,0,0,0,0,0,2022/12/16,废弃资源综合利用业,商业和专业服务,环境治理,环保及公用事业,创业板,北京,北京市,1
301266,宇邦新材,51000,7月14日,0.03 ,18400,7/14/28,0.06 ,0,0,53.69,18.30117348,0,422.9646,421.1182,1.8464,0,0.010235869,2022/6/8,电气机械和器材制造业,半导体与半导体生产设备,光伏设备,专用机械,创业板,江苏省,苏州市,1
301267,华厦眼科,3900,14,0.03 ,30300,4月28日,0.06 ,1900,70813,37.26,-19.88446223,335.9697,4263.9247,3726.085,537.8397,0.100189449,0.109722772,2022/11/7,卫生,医疗保健设备与服务,医疗服务,其他医药医疗,创业板,福建省,厦门市,1
301268,铭利达,0,,0.02 ,50600,7/14/28,0.06 ,0,0,31.35,3.550803125,111.2643,10329.4146,10120.1671,209.2475,0.020882825,0.251857931,2022/4/7,金属制品业,技术硬件与设备,通用设备,专用机械,创业板,广东省,深圳市,0
301269,华大九天,0,,0.02 ,7757200,1-182,0.06 ,23800,2405942,100.5,34.177416,7681.1447,422634.3932,420578.0208,2056.3724,0.291357423,2.316108205,2022/7/29,软件和信息技术服务业,软件与服务,软件开发,计算机软件,创业板,北京,北京市,0
301270,汉仪股份,118000,7月14日,0.03 ,22800,7/14/28,0.06 ,0,0,42.18,7.723940774,63.6918,614.2274,540.7971,73.4303,0.075253837,0.017593766,2022/8/31,软件和信息技术服务业,软件与服务,软件开发,计算机软件,创业板,北京,北京市,1
301272,英华特,210300,7/14/28,0.03 ,14000,7/14/28,0.08 ,0,0,71.45,-16.32509662,0,0,0,0,0,0,2023/7/13,通用设备制造业,资本货物,通用设备,专用机械,创业板,江苏省,常熟市,1
301273,瑞晨环保,6800,7月14日,0.03 ,30800,7/14/28,0.04 ,0,0,33.3,-16.58204712,0,0,0,0,0,0,2022/10/25,通用设备制造业,资本货物,通用设备,专用机械,创业板,上海,上海市,1
301276,嘉曼服饰,11800,7/14/28,0.03 ,37000,7/14/28,0.06 ,0,0,26.91,-19.79262177,0,0,0,0,0,0,2022/9/9,纺织服装、服饰业,耐用消费品与服装,服装家纺,品牌服饰,创业板,北京,北京市,1
301277,新天地,1066800,7/14/28,0.03 ,39600,7/14/28,0.08 ,0,0,22.86,-12.56871352,0,22.443,22.5268,-0.0838,0,0.00085165,2022/11/16,医药制造业,制药、生物科技与生命科学,化学制药,化学制药,创业板,河南省,长葛市,1
301278,快可电子,41400,7/14/28,0.03 ,19200,7/14/28,0.06 ,0,0,50.85,-48.22114636,0,0,0,0,0,0,2022/8/4,电气机械和器材制造业,技术硬件与设备,光伏设备,电源设备,创业板,江苏省,苏州市,1
301279,金道科技,20000,7月14日,0.03 ,38400,7/14/28,0.06 ,0,0,25.54,-29.6777044,0,19824.5368,18370.5015,1454.0353,0,1.059563453,2022/4/13,通用设备制造业,汽车与汽车零部件,工程机械,工程机械Ⅱ,创业板,浙江省,绍兴市,1
301280,珠城科技,2900,14/28,0.03 ,27800,7/14/28,0.06 ,0,0,35.75,-0.38406711,218.3325,11503.7515,10736.167,767.5845,0.261568432,1.288128557,2022/12/26,计算机、通信和其他电子设备制造业,技术硬件与设备,消费电子,其他电子零组件Ⅱ,创业板,浙江省,乐清市,1
301281,科源制药,583100,7/14/28,0.03 ,17000,7/14/28,0.08 ,0,0,56,104.3210942,0,28.1518,26.8003,1.3515,0,0.002452299,2023/4/4,医药制造业,制药、生物科技与生命科学,化学制药,化学制药,创业板,山东省,济南市,1
301282,金禄电子,26300,14/28,0.03 ,35800,7/14/28,0.06 ,0,0,27.64,-29.30097739,0,155.0582,152.6221,2.4361,0,0.005551979,2022/8/26,计算机、通信和其他电子设备制造业,技术硬件与设备,元件,元器件,创业板,广东省,清远市,1
301283,聚胶股份,0,,0.02 ,25000,7/14/28,0.06 ,0,0,38.35,-17.31158172,0,65.3737,63.9612,1.4125,0,0.006285283,2022/9/2,化学原料和化学制品制造业,材料Ⅱ,化学制品,其他化学制品Ⅱ,创业板,广东省,广州市,0
301285,鸿日达,52900,7/14/28,0.03 ,73600,7/14/28,0.06 ,0,0,13.66,-36.96199567,0,0,0,0,0,0,2022/9/28,计算机、通信和其他电子设备制造业,技术硬件与设备,消费电子,其他电子零组件Ⅱ,创业板,江苏省,昆山市,1
301286,侨源股份,0,,0.02 ,35800,7/14/28,0.05 ,0,0,28.25,-2.169314182,5.3675,27463.2892,25928.5601,1534.7291,0.004782882,1.392468516,2022/6/14,化学原料和化学制品制造业,材料Ⅱ,化学制品,其他化学制品Ⅱ,创业板,四川省,都江堰市,0
